排名,名称,年份,评分,评语
145,哪吒闹海,1979,9.1,想你时你在闹海。
146,未麻的部屋,1997,9.0,好的剧本是，就算你猜到了结局也猜不到全部。
147,血战钢锯岭,2016,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
148,寄生虫,2019,8.8,写给影迷，动漫迷和游戏迷的一封情书。
150,我是山姆,2001,9.0,爱并不需要智商 。
151,七武士,1954,9.3,时代悲歌。
152,新世界,2013,8.9,要做就做得狠一点，这样才能活下去。
153,哈利·波特与火焰杯,2005,8.7,中国家庭的喜怒哀乐忍。
155,黑客帝国3：矩阵革命,2003,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
156,电锯惊魂,2004,8.7,真相就在眼前。
157,模仿游戏,2014,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
158,花样年华,2000,8.7,偷情本没有这样美。
159,卢旺达饭店,2004,8.9,当这个世界闭上双眼，他却敞开了怀抱。
160,三块广告牌,2017,8.7,怼天怼地，你走后，她与世界为敌。
161,上帝之城,2002,9.0,被上帝抛弃了的上帝之城。
162,疯狂原始人,2013,8.7,老少皆宜，这就是好莱坞动画的魅力。
163,你的名字。,2016,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
164,头脑特工队,2015,8.8,愿我们都不用长大，每一座城堡都能永远存在。
165,风之谷,1984,8.9,动画片的圣经。
166,谍影重重3,2007,8.8,像吃了苏打饼一样干脆的电影。
167,达拉斯买家俱乐部,2013,8.8,Jared Leto的腿比女人还美！
168,英雄本色,1986,8.6,英雄泪短，兄弟情长。 
169,纵横四海,1991,8.8,香港浪漫主义警匪动作片的巅峰之作。
170,心迷宫,2014,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
171,岁月神偷,2010,8.7,岁月流逝，来日可追。
172,惊魂记,1960,9.0,故事的反转与反转，分裂电影的始祖。
173,记忆碎片,2000,8.7,一个针管引发的血案。
174,海街日记,2015,8.8,是枝裕和的家庭习作。
175,忠犬八公物语,1987,9.2,养狗三日，便会对你终其一生。
176,荒蛮故事,2014,8.8,始于荒诞，止于更荒诞。
177,九品芝麻官,1994,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
179,真爱至上,2003,8.6,爱，是个动词。
180,贫民窟的百万富翁,2008,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
181,绿里奇迹,1999,8.9,天使暂时离开。
182,东邪西毒,1994,8.6,电影诗。
183,爱在午夜降临前,2013,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
184,小偷家族,2018,8.7,我们组成了家。
185,无敌破坏王,2012,8.7,迪士尼和皮克斯拿错剧本的产物。
186,冰川时代,2002,8.6,松鼠才是角儿。
187,黑天鹅,2010,8.6,黑暗之美。
188,疯狂的石头,2006,8.5,中国版《两杆大烟枪》。
189,你看起来好像很好吃,2010,8.9,感情不分食草或者食肉。
190,色，戒,2007,8.6,假戏真情，爱欲深海
191,萤火虫之墓,1988,8.7,幸福是生生不息，却难以触及的远。 
192,恐怖游轮,2009,8.5,不要企图在重复中寻找已经失去的爱。
193,雨中曲,1952,9.1,骨灰级歌舞片。
194,雨人,1988,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
195,恋恋笔记本,2004,8.6,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
196,2001太空漫游,1968,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。
197,魔女宅急便,1989,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
198,城市之光,1931,9.3,永远的小人物，伟大的卓别林。
199,可可西里,2004,8.8,坚硬的信仰。
200,虎口脱险,1966,8.9,永远看不腻的喜剧。
201,遗愿清单,2007,8.7,用剩余不多的时间，去燃烧整个生命。
202,人工智能,2001,8.7,对爱的执着，可以超越一切。
203,大佛普拉斯,2017,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
204,初恋这件小事,2010,8.4,黑小鸭速效美白记。
205,海边的曼彻斯特,2016,8.6,我们都有权利不与自己的过去和解。
206,二十二,2015,8.7,有一些东西不应该被遗忘。
207,牯岭街少年杀人事件,1991,8.9,弱者送给弱者的一刀。
208,罗生门,1950,8.8,人生的N种可能性。
209,终结者2：审判日,1991,8.8,少见的超越首部的续集，动作片中的经典。
210,奇迹男孩,2017,8.6,世界不完美，爱会有奇迹。
211,无间道2,2003,8.7,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
213,东京教父,2003,9.0,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
215,青蛇,1993,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
216,茶馆,1982,9.5,嬉笑怒骂，调风动月。
218,疯狂的麦克斯4：狂暴之路,2015,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
219,魂断蓝桥,1940,8.8,中国式内在的美国电影。
220,无耻混蛋,2009,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。
221,波西米亚狂想曲,2018,8.7,每个美丽事物背后都是滴血的现实。
223,背靠背，脸对脸,1994,9.5,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
225,黑客帝国2：重装上阵,2003,8.7,一个精彩的世界观正在缓缓建立。
226,彗星来的那一夜,2013,8.5,小成本大魅力。
227,千钧一发,1997,8.8,一部能引人思考的科幻励志片。
228,小丑,2019,8.7,做一颗让别人需要你的棋子。
230,燃情岁月,1994,8.8,传奇，不是每个人都可以拥有。
231,谍影重重2,2004,8.7,谁说王家卫镜头很晃？
232,崖上的波妞,2008,8.6,大海啊，不全是水。
234,阿飞正传,1990,8.5,王家卫是一种风格，张国荣是一个代表。
235,穿越时空的少女,2006,8.6,爱上未来的你。 
236,谍影重重,2002,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
237,爱乐之城,2016,8.4,天使保护事件始末。
239,香水,2006,8.5,一个单凭体香达到高潮的男人。
240,再次出发之纽约遇见你,2013,8.6,爱我就给我看你的播放列表。
241,我爱你,2011,9.1,你要相信，这世上真的有爱存在，不管在什么年纪 
242,完美陌生人,2016,8.5,来啊，互相伤害啊！
243,朗读者,2008,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
244,火星救援,2015,8.5,新闻人的理性求真。
246,驴得水,2016,8.3,过去的如果就让它过去了，未来只会越来越糟！
247,千年女优,2001,8.8,爱情是一场没有尽头的虚幻追逐。
248,小萝莉的猴神大叔,2015,8.4,宝莱坞的萝莉与大叔。
249,浪潮,2008,8.7,世界离独裁只有五天。
250,猜火车,1996,8.6,不可猜的青春迷笛。 
